ISIN,EX_DIVIDEND,VALUE,CHECKED
FR0004040608,2000-07-26,"1,500",False
FR0004040608,2001-02-13,"0,100",False
FR0004040608,2001-07-10,"0,130",False
FR0004040608,2002-07-25,"0,230",False
FR0004040608,2003-07-08,"0,500",False
FR0004040608,2003-12-09,"0,230",False
FR0004040608,2004-05-20,"0,300",False
FR0004040608,2004-09-07,"0,300",False
FR0004040608,2004-11-16,"0,500",False
FR0004040608,2005-06-23,"0,100",False
FR0004040608,2005-12-01,"0,100",False
FR0004040608,2006-07-07,"0,100",False
FR0004040608,2006-11-16,"0,130",False
FR0004040608,2007-07-03,"0,200",False
FR0004040608,2007-11-13,"0,170",False
FR0004040608,2008-06-27,"0,260",False
FR0004040608,2008-11-14,"0,200",False
FR0004040608,2009-06-11,"0,550",False
FR0004040608,2009-11-20,"0,200",False
FR0004040608,2010-06-24,"0,550",False
FR0004040608,2010-11-23,"0,200",False
FR0004040608,2011-06-10,"0,350",False
FR0004040608,2011-11-22,"0,200",False
FR0004040608,2012-06-08,"0,350",False
FR0004040608,2012-11-21,"0,200",False
FR0004040608,2013-06-05,"0,270",False
FR0004040608,2013-12-09,"0,050",False
FR0004040608,2014-07-04,"0,200",False
FR0004040608,2014-11-18,"0,200",False
FR0004040608,2015-07-01,"0,200",False
FR0004040608,2015-12-17,"0,200",False
FR0004040608,2016-07-01,"0,200",False
FR0004040608,2016-11-17,"0,200",False
FR0004040608,2017-07-20,"0,250",False
FR0004040608,2017-11-23,"0,200",False
FR0004040608,2018-07-24,"0,200",False
FR0004040608,2018-11-27,"0,200",False
FR0004040608,2019-07-09,"0,230",False
FR0004040608,2019-10-08,"0,100",False
FR0004040608,2019-12-10,"0,100",False
FR0004040608,2020-04-23,"0,100",False
FR0004040608,2020-07-07,"0,030",False
FR0004040608,2020-10-06,"0,100",False
FR0004040608,2020-12-08,"0,100",False
FR0004040608,2021-04-13,"0,100",False
FR0004040608,2021-07-06,"0,100",False
FR0004040608,2021-10-12,"0,100",False
FR0004040608,2021-12-07,"0,100",False
FR0004040608,2022-04-20,"0,100",False
FR0004040608,2022-07-05,"0,100",False
FR0004040608,2022-10-11,"0,100",False
FR0004040608,2022-12-06,"0,100",False
FR0004040608,2023-04-18,"0,100",False
FR0004040608,2023-07-04,"0,110",False
FR0004040608,2023-10-10,"0,100",False
FR0004040608,2023-12-05,"0,100",False
FR0004040608,2024-04-23,"0,100",False
FR0004040608,2024-10-09,"0,1",False
FR0004040608,2024-12-03,"0,1",False
FR0013185857,2017-07-27,"0,470",False
FR0013185857,2018-07-27,"0,310",False
FR0013185857,2019-07-29,"0,320",False
FR0013185857,2022-07-22,"0,400",False
FR0013185857,2023-07-27,"0,330",False
FR0013185857,2024-07-30,"0,200",False
FR001400AHX6,2020-10-01,"18,5",False
BE0974278104,2024-03-21,"0,094",False
FR0000064602,1990-07-16,"0,002",False
FR0000064602,1991-07-17,"0,002",False
FR0000064602,1992-07-10,"0,002",False
FR0000064602,2000-08-14,"0,012",False
FR0000064602,2001-06-29,"0,026",False
FR0000064602,2002-06-24,"0,026",False
FR0000064602,2003-09-01,"0,083",False
FR0000064602,2004-06-30,"0,025",False
FR0000064602,2004-12-22,"0,008",False
FR0000064602,2005-06-06,"0,070",False
FR0000064602,2006-07-31,"0,040",False
FR0000064602,2006-11-17,"0,080",False
FR0000064602,2007-03-23,"0,043",False
FR0000064602,2007-05-28,"0,035",False
FR0000064602,2008-06-05,"0,054",False
FR0000064602,2008-07-03,"0,051",False
FR0000064602,2009-06-23,"0,011",False
FR0000064602,2010-08-20,"0,040",False
FR0000064602,2011-05-26,"0,038",False
FR0000064602,2011-08-30,"0,089",False
FR0000064602,2012-08-28,"0,090",False
FR0000064602,2013-08-27,"0,060",False
FR0000064602,2014-08-25,"0,030",False
FR0000064602,2015-08-17,"0,270",False
FR0000064602,2016-07-13,"0,120",False
FR0000064602,2016-11-23,"0,300",False
FR0000064602,2017-11-03,"0,100",False
FR0000064602,2018-02-08,"0,300",False
FR0000064602,2019-09-26,"0,009",False
FR0000064602,2023-09-13,"0,050",False
FR0000064602,2023-10-19,"0,100",False
FR0000064602,2024-08-21,"0,05",False
FR0000120404,1990-07-02,"0,237",False
FR0000120404,1991-06-03,"0,291",False
FR0000120404,1992-06-01,"0,317",False
FR0000120404,1993-06-09,"0,357",False
FR0000120404,1994-06-06,"0,357",False
FR0000120404,1995-06-21,"0,357",False
FR0000120404,1996-06-14,"0,396",False
FR0000120404,1997-06-13,"0,396",False
FR0000120404,1998-06-15,"0,456",False
FR0000120404,1999-06-14,"0,520",False
FR0000120404,2000-06-14,"0,585",False
FR0000120404,2001-06-14,"0,650",False
FR0000120404,2002-06-03,"0,682",False
FR0000120404,2003-06-02,"0,682",False
FR0000120404,2004-05-17,"0,682",False
FR0000120404,2005-05-17,"0,682",False
FR0000120404,2006-05-17,"0,747",False
FR0000120404,2007-05-16,"0,942",False
FR0000120404,2008-05-15,"1,072",False
FR0000120404,2009-05-20,"1,072",False
FR0000120404,2010-07-02,"1,050",False
FR0000120404,2011-06-01,"0,620",False
FR0000120404,2012-06-11,"0,650",False
FR0000120404,2013-05-03,"0,760",False
FR0000120404,2014-05-09,"0,800",False
FR0000120404,2015-05-06,"0,950",False
FR0000120404,2016-04-27,"1,000",False
FR0000120404,2017-05-12,"1,050",False
FR0000120404,2018-05-11,"1,050",False
FR0000120404,2019-05-10,"1,050",False
FR0000120404,2023-05-23,"1,050",False
FR0000120404,2024-06-05,"1,180",False
BE0974269012,2006-07-31,"0,04",False
BE0974269012,2007-06-05,"0,03",False
BE0974269012,2011-08-31,"0,11",False
BE0974269012,2014-09-22,"0,01",False
BE0974269012,2014-12-24,"0,04",False
FR0010340141,2007-06-12,"0,940",False
FR0010340141,2008-06-06,"1,630",False
FR0010340141,2009-06-08,"1,380",False
FR0010340141,2010-06-07,"1,370",False
FR0010340141,2011-05-16,"1,520",False
FR0010340141,2012-05-15,"1,760",False
FR0010340141,2013-05-27,"2,070",False
FR0010340141,2014-05-23,"1,850",False
FR0010340141,2015-05-28,"2,440",False
FR0010340141,2015-12-08,"0,700",False
FR0010340141,2016-05-31,"1,910",False
FR0010340141,2016-12-07,"0,700",False
FR0010340141,2017-06-07,"1,940",False
FR0010340141,2017-12-06,"0,700",False
FR0010340141,2018-06-06,"2,760",False
FR0010340141,2018-12-06,"0,700",False
FR0010340141,2019-06-07,"3,000",False
FR0010340141,2019-12-06,"0,700",False
FR0010340141,2023-06-05,"3,130",False
