ISIN,TICKER,NAME,SECTOR,INDEX
FR0011040500,74SW,74SOFTWARE,,
FR0010557264,AB,AB SCIENCE,Santé,CAC_SMALL
FR0004040608,ABCA,ABC ARBITRAGE,Finance,CAC_SMALL
FR0013185857,ABEO,ABEO,Consommation discrétionnaire,CAC_SMALL
FR0012616852,ABNX,ABIONYX PHARMA,Santé,CAC_SMALL
FR0012333284,ABVX,ABIVAX,Santé,CAC_SMALL
FR001400AHX6,ABLD,ABL Diagnostics,Industrie,
BE0974278104,ABO,ABO GROUP,Industrie,
FR0000064602,ACAN,ACANTHE DEV.,Immobilier,
FR0000120404,AC,ACCOR,Consommation discrétionnaire,CAC_NEXT_20
FR0000076861,EOS,ACTEOS,Technologies,CAC_SMALL
BE0974269012,ALDV,ADC SIIC,Immobilier,
FR0011184241,ADOC,ADOCIA,Santé,CAC_SMALL
FR0010340141,ADP,ADP,Industrie,CAC_NEXT_20
FR0014007ZB4,AELIS,AELIS FARMA,Santé,
FR0013333077,AFME,AFFLUENT MEDICAL,Santé,
FR001400J770,AF,AIR FRANCE -KLM,Industrie,CAC_NEXT_20
FR0000120073,AI,AIR LIQUIDE,Matériaux,CAC_40
NL0000235190,AIR,AIRBUS,Industrie,CAC_40
FR0000053027,AKW,AKWEL,Consommation discrétionnaire,CAC_SMALL
FR0000062465,AAA,ALAN ALLMAN,Industrie,
FR0000053324,CDA,ALPES (COMPAGNIE),Consommation discrétionnaire,CAC_SMALL
FR0010220475,ALO,ALSTOM,Industrie,CAC_NEXT_20
FR0000053837,LTA,ALTAMIR,Finance,
FR0000033219,ALTA,ALTAREA,Immobilier,CAC_MID_60
FR0000039216,AREIT,ALTAREIT,Immobilier,
FR0000071946,ATE,ALTEN,Technologies,CAC_MID_60
FR0012789667,AMPLI,AMPLITUDE SURGICAL,Santé,
FR0004125920,AMUN,AMUNDI,Finance,CAC_MID_60
FR0014005AL0,ANTIN,ANTIN INFRA PARTN,Finance,CAC_MID_60
LU0569974404,APAM,APERAM,,CAC_MID_60
FR0014003U94,ARAMI,ARAMIS GROUP,Consommation discrétionnaire,CAC_SMALL
LU1598757687,MT,ARCELORMITTAL SA,,CAC_40
FR0010481960,ARG,ARGAN,Immobilier,
FR0010313833,AKE,ARKEMA,Matériaux,CAC_NEXT_20
FR0012185536,ARTE,ARTEA,Immobilier,
FR0000074783,PRC,ARTMARKET COM,Télécommunications,CAC_SMALL
FR0000076952,ARTO,ARTOIS NOM.,Technologies,
FR001400JWR8,ARVEN,ARVERNE GROUP,,
FR0000074148,ASY,ASSYSTEM,Industrie,CAC_SMALL
FR0011992700,ATEME,ATEME,Technologies,
FR0013455482,ATLD,ATLAND,Immobilier,CAC_SMALL
FR0000051732,ATO,ATOS,Technologies,CAC_MID_60
FR0000063737,AUB,AUBAY,Technologies,CAC_SMALL
FR0000061780,AUGR,AUGROS COSMETIC,Consommation discrétionnaire,
FR0000039232,AURE,AUREA,Industrie,CAC_SMALL
FR001400CFI7,AVT,AVENIR TELECOM,Technologies,CAC_SMALL
FR0000120628,CS,AXA,Finance,CAC_40
FR0013258662,AYV,AYVENS,,
MC0000031187,BAIN,BAINS MER MONACO,Consommation discrétionnaire,
FR0013258399,BALYO,BALYO,Industrie,CAC_SMALL
FR0000062788,BUI,BARBARA BUI,Consommation discrétionnaire,
FR0004023208,BASS,BASSAC,Consommation discrétionnaire,
FR0000035370,BLC,BASTIDE LE CONFORT,Santé,CAC_SMALL
FR0014003FE9,BLV,BELIEVE,Consommation discrétionnaire,CAC_SMALL
FR0000035164,BEN,BENETEAU,Consommation discrétionnaire,CAC_MID_60
FR0000120966,BB,BIC,Consommation de base,CAC_MID_60
FR0000074072,BIG,BIGBEN INTERACTIVE,Technologies,CAC_SMALL
FR0013280286,BIM,BIOMERIEUX,Santé,CAC_NEXT_20
BE0974280126,BIOS,BIOSENIC,Santé,
FR0000062150,BLEE,BLEECKER,Immobilier,
FR0000131104,BNP,BNP PARIBAS ACT.A,Finance,CAC_40
FR0000061129,BOI,BOIRON,Santé,CAC_SMALL
FR0000039299,BOL,BOLLORE,Télécommunications,CAC_MID_60
FR0000063935,BON,BONDUELLE,Consommation de base,CAC_SMALL
FR0000074254,BSD,BOURSE DIRECT,Finance,
FR0000120503,EN,BOUYGUES,Industrie,CAC_40
FR0006174348,BVI,BUREAU VERITAS,Industrie,CAC_NEXT_20
FR0000061137,BUR,BURELLE,Consommation discrétionnaire,
FR0000045544,CAT31,CA TOULOUSE 31 CCI,Finance,
FR0010151589,CAFO,CAFOM,Consommation discrétionnaire,CAC_SMALL
FR001400SUB7,CBDG,CAMBODGE NOM.,Industrie,
FR0000125338,CAP,CAPGEMINI,Technologies,CAC_40
FR0010828137,CARM,CARMILA,Immobilier,CAC_MID_60
FR0000064156,CARP,CARPINIENNE PART.,Immobilier,
FR0000120172,CA,CARREFOUR,Consommation de base,CAC_40
FR001400OKR3,CO,CASINO GUICHARD,Consommation de base,CAC_MID_60
FR0010193052,CATG,CATANA GROUP,Consommation discrétionnaire,CAC_SMALL
FR0010193979,CBOT,CBO TERRITORIA,Immobilier,CAC_SMALL
FR0000053506,CGM,CEGEDIM,Santé,CAC_SMALL
BE0974260896,CYAD,CELYAD ONCOLOGY,Santé,
FR0000037475,CFI,CFI,Immobilier,
FR0000130692,CRI,CHARGEURS,Consommation discrétionnaire,CAC_SMALL
FR0000060907,CHSR,CHAUSSERIA,Consommation discrétionnaire,
FR0000130403,CDI,CHRISTIAN DIOR,Consommation discrétionnaire,
FR0013426004,CLA,CLARANOVA,Technologies,CAC_SMALL
FR0010386334,CLARI,CLARIANE,Santé,
NL0010949392,CNV,CNOVA,Consommation discrétionnaire,
FR0010667147,COFA,COFACE,Finance,CAC_MID_60
FR0004031763,COH,COHERIS,Technologies,
FR0000062234,ODET,COMPAGNIE ODET,Industrie,
FR0000065393,COUR,COURTOIS,Immobilier,
FR0000064578,COV,COVIVIO,Immobilier,CAC_MID_60
FR0000060303,COVH,COVIVIO HOTELS,Immobilier,
FR0000044323,CRAP,CRCAM ALP.PROV.CCI,Finance,
FR0000185506,CRAV,CRCAM ATL.VEND.CCI,Finance,
FR0010483768,CRBP2,CRCAM BRIE PIC2CCI,Finance,
FR0000045213,CIV,CRCAM ILLE-VIL.CCI,Finance,
FR0010461053,CRLA,CRCAM LANGUED CCI,Finance,
FR0000045239,CRLO,CRCAM LOIRE HTE L.,Finance,
FR0000045551,CMO,CRCAM MORBIHAN CCI,Finance,
FR0000185514,CNDF,CRCAM NORD CCI,,
FR0000044364,CCN,CRCAM NORM.SEINE,Finance,
FR0000045528,CAF,CRCAM PARIS ET IDF,Finance,
FR0000045346,CRSU,CRCAM SUD R.A.CCI,Finance,
FR0000045304,CRTO,CRCAM TOURAINE CCI,Finance,
FR0000045072,ACA,CREDIT AGRICOLE,Finance,CAC_40
FR0000050395,CROS,CROSSWOOD,Immobilier,
FR0000120644,BN,DANONE,Consommation de base,CAC_40
FR0014004L86,AM,DASSAULT AVIATION,Industrie,CAC_MID_60
FR0014003TT8,DSY,DASSAULT SYSTEMES,Technologies,CAC_40
FR0010417345,DBV,DBV TECHNOLOGIES,Santé,CAC_SMALL
FR001400AYG6,DEEZR,DEEZER,Télécommunications,
FR0000062978,DKUPL,DEKUPLE,Télécommunications,CAC_SMALL
FR0000053381,DBG,DERICHEBOURG,Industrie,CAC_MID_60
FR0000065260,DPAM,DOCK.PETR.AMBES AM,Energie,
FR0010428771,EFG,EAGLEFOOTBALLGROUP,,
FR0010908533,EDEN,EDENRED,Finance,CAC_NEXT_20
FR0000130452,FGR,EIFFAGE,Industrie,CAC_NEXT_20
FR0011466069,EKI,EKINOPS,Technologies,CAC_SMALL
FR0000031023,ELEC,ELEC.STRASBOURG,Services aux collectivités,
FR0000035719,EEM,ELECT. MADAGASCAR,Finance,
FR0011950732,ELIOR,ELIOR GROUP,Consommation discrétionnaire,CAC_MID_60
FR0012435121,ELIS,ELIS,Industrie,CAC_MID_60
FR001400NLM4,EMEIS,EMEIS,,
FR0010208488,ENGI,ENGIE,Services aux collectivités,CAC_40
FR0012882389,EQS,EQUASENS,Santé,CAC_SMALL
FR0000131757,ERA,ERAMET,Matériaux,CAC_MID_60
FR0000121667,EL,ESSILORLUXOTTICA,Santé,CAC_40
FR0000120669,ES,ESSO,Energie,CAC_SMALL
FR0000061475,EFI,EURASIA FONC INV,Immobilier,
FR0000121121,RF,EURAZEO,Finance,CAC_MID_60
FR0014008VX5,EAPI,EUROAPI,Santé,CAC_MID_60
FR0014000MR3,ERF,EUROFINS SCIENT.,Santé,CAC_40
NL0006294274,ENX,EURONEXT,Finance,CAC_NEXT_20
FR0010221234,ETL,EUTELSAT COMMUNIC.,Technologies,CAC_MID_60
FR0000035784,EGR,EVERGREEN,Finance,
FR0000062671,EXA,EXAIL TECHNOLOGIES,Industrie,CAC_SMALL
FR0014005DA7,EXN,EXCLUSIVE NETWORKS,Technologies,
FR0004527638,EXE,EXEL INDUSTRIES,Industrie,
FR001400Q9V2,EXENS,EXOSENS,,
FR0014003AQ4,EXPL,EXPLOSIFS PROD.CHI,Matériaux,
FR0000031973,FAYE,FAYENC.SARREGUEMI.,Consommation de base,
FR0013451333,FDJ,FDJ,Consommation discrétionnaire,CAC_MID_60
FR0000062101,FCMC,FERM.CAS.MUN.CANNE,Consommation discrétionnaire,
FR0000061418,SACI,FIDUCIAL OFF.SOL.,Industrie,
FR0000060535,ORIA,FIDUCIAL REAL EST.,Immobilier,
FR0011665280,FGA,FIGEAC AERO,Industrie,
FR0000060824,FINM,FINANCIERE MARJOS,Industrie,
FR0000035123,FNTS,FINATIS,Consommation de base,
FR0000038184,FIPP,FIPP,Immobilier,
FR0011476928,FNAC,FNAC DARTY,Consommation discrétionnaire,CAC_MID_60
FR0000065930,LEBL,FONCIERE 7 INVEST,Consommation discrétionnaire,
FR0000038499,EURS,FONCIERE EURIS,Immobilier,
FR0010341032,INEA,FONCIERE INEA,Immobilier,
FR0000033409,FLY,FONCIERE LYONNAISE,Immobilier,
FR0000053944,SPEL,FONCIERE VOLTA,Immobilier,
FR0014005SB3,FORSE,FORSEE POWER,Industrie,CAC_SMALL
FR0000121147,FRVIA,FORVIA,Consommation discrétionnaire,CAC_NEXT_20
FR0013030152,FDE,FRANCAISE ENERGIE,Energie,CAC_SMALL
FR0010588079,FREY,FREY,Immobilier,
FR0000034894,GAM,GAUMONT,Télécommunications,
FR0000053035,GEA,GEA GRENOBL.ELECT.,Industrie,
FR0010040865,GFC,GECINA,Immobilier,CAC_NEXT_20
CH0308403085,GNRO,GENEURO,Santé,CAC_SMALL
FR0004163111,GNFT,GENFIT,Santé,CAC_SMALL
FR0013183985,SIGHT,GENSIGHT BIOLOGICS,Santé,CAC_SMALL
FR0010533075,GET,GETLINK SE,Industrie,CAC_NEXT_20
FR0000066672,GLO,GL EVENTS,Industrie,CAC_SMALL
FR0010214064,GPE,GPE GROUP PIZZORNO,Industrie,
FR0000065971,GRVO,GRAINES VOLTZ,Matériaux,CAC_SMALL
FR0000036675,CEN,GROUPE CRIT,Industrie,
FR0000066219,INFE,GROUPE ETPO,Industrie,
FR0004010338,GJAJ,GROUPE JAJ,Consommation discrétionnaire,
FR0012612646,PARP,GROUPE PARTOUCHE,Consommation discrétionnaire,
FR0004155000,SFPI,GROUPE SFPI,Industrie,CAC_SMALL
FR0011726835,GTT,GTT,Energie,CAC_MID_60
FR0000032526,GBT,GUERBET,Santé,CAC_SMALL
FR0000066722,GUI,GUILLEMOT,Technologies,CAC_SMALL
FR0000066755,PIG,HAULOTTE GROUP,Industrie,CAC_SMALL
FR0014003VY4,HDF,HDF,Services aux collectivités,CAC_SMALL
FR0000052292,RMS,HERMES INTL,Consommation discrétionnaire,CAC_40
FR0000054231,HCO,HIGH CO,Télécommunications,CAC_SMALL
FR0004165801,HDP,HOTELS DE PARIS,Consommation discrétionnaire,
FR0000035081,ICAD,ICADE,Immobilier,CAC_MID_60
FR0010929125,IDL,ID LOGISTICS GROUP,Industrie,CAC_MID_60
FR0000051393,IDIP,IDI,Finance,
FR0000120859,NK,IMERYS,Matériaux,CAC_MID_60
FR0000033243,IMDA,IMMOB.DASSAULT,Immobilier,
FR0000071797,INF,INFOTEL,Technologies,
FR0010331421,IPH,INNATE PHARMA,Santé,CAC_SMALL
FR0004024222,ITP,INTERPARFUMS,Consommation de base,CAC_MID_60
FR0000064958,ITXT,INTEXA,Consommation discrétionnaire,
FR0013233012,IVA,INVENTIVA,Santé,CAC_SMALL
FR0010259150,IPN,IPSEN,Santé,CAC_MID_60
FR0000073298,IPS,IPSOS,Télécommunications,CAC_MID_60
FR0012872141,JBOG,JACQUES BOGART,Consommation de base,
FR0000033904,JCQ,JACQUET METALS,Matériaux,CAC_SMALL
FR0000077919,DEC,JCDECAUX,Télécommunications,CAC_MID_60
